"idealista_id";"bedrooms";"bathrooms";"floor";"elevator";"terrace";"balcony";"garaje";"built_in_wardrobe";"air_conditioning";"swimming_pool";"green_zone";"price";"furnished";"equiped_kitchen";"street";"neighborhood";"district";"m2_builded";"m2_habitable"
"100004246";"3";"2";"Planta 3ª exterior";"N";"N";"Y";"N";"Y";"Y";"N";"N";"1800";"Y";"Y";"pintor Velázquez";"Barrio Mercado";"Distrito Centro";"125";" 110"
"100010363";"1";"1";"Planta 1ª exterior";"Y";"Y";"N";"Y";"Y";"Y";"N";"N";"680";"Y";"Y";"Calle de la Nasa";"Barrio Cabo de las Huertas";"Distrito Playa de San Juan-El Cabo";"50";NULL
"100027994";"2";"2";"Planta 6ª exterior";"Y";"N";"N";"N";"N";"Y";"N";"N";"1150";"N";"N";"Calle Girona, 16";"Barrio Centro Tradicional";"Distrito Centro";"77";" 68"
"100028067";"1";"1";"Planta 4ª exterior";"Y";"N";"N";"N";"N";"Y";"N";"N";"950";"N";"N";"Calle Girona, 19";"Barrio Centro Tradicional";"Distrito Centro";"60";" 56"
"100028107";"4";"3";"Planta 3ª exterior";"Y";"N";"N";"N";"N";"Y";"N";"N";"2800";"N";"N";"Calle San Fernando";"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"223";" 210"
"100033224";"6";"5";"None";"N";"Y";"Y";"Y";"Y";"Y";"Y";"N";"6000";"Y";"Y";NULL;"Barrio Alicante Golf";"Distrito Playa de San Juan-El Cabo";"500";NULL
"100041286";"4";"2";"Planta 1ª exterior";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"1500";"N";"Y";"Calle Alvarez Sereix";"Barrio Centro Tradicional";"Distrito Centro";"140";" 130"
"100043252";"2";"1";"Planta 4ª exterior";"Y";"Y";"N";"Y";"Y";"Y";"Y";"N";"1200";"Y";"Y";"Avenida de Niza, 26";"Barrio Playa de San Juan";"Distrito Playa de San Juan-El Cabo";"74";NULL
"100044975";"3";"1";"Planta 2ª exterior";"N";"N";"Y";"N";"N";"Y";"N";"N";"790";"Y";"Y";"Calle huerta";"Barrio San Antón";"Distrito Plà del Bon Repòs-La Goteta-San Antón";"85";" 80"
"100054377";"2";"1";"Planta 2ª exterior";"Y";"Y";"Y";"Y";"Y";"N";"Y";"N";"900";"Y";"Y";"Calle Esportista Juan Matos, 1";"Barrio La Albufereta";"Distrito Playa de San Juan-El Cabo";"80";" 65"
"100054593";"2";"2";"Planta 3ª exterior";"N";"Y";"Y";"N";"N";"N";"N";"N";"1180";"N";"N";"Calle Belando, 19";"Barrio Mercado";"Distrito Centro";"90";" 80"
"100061869";"4";"3";"Planta 3ª exterior";"Y";"N";"N";"N";"Y";"Y";"N";"N";"2800";"Y";"Y";"San Fernando";"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"223";" 213"
"100063130";"6";"5";"None";"N";"Y";"Y";"Y";"Y";"Y";"Y";"N";"6000";"Y";"Y";NULL;"Barrio Alicante Golf";"Distrito Playa de San Juan-El Cabo";"550";" 500"
"100065605";"3";"2";"Planta 2ª exterior";"Y";"Y";"N";"N";"N";"Y";"Y";"N";"1300";"Y";"Y";"Calle Díaz Moreu";"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"151";" 146"
"100067349";"4";"2";"Planta 1ª exterior";"Y";"N";"N";"N";"Y";"N";"N";"N";"1350";"N";"N";"Calle de Álvarez Sereix";"Barrio Centro Tradicional";"Distrito Centro";"140";NULL
"100069817";"4";"3";"Planta 7ª exterior";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"1200";"Y";"Y";"Avenida Oscar Espla, 15";"Barrio Benalúa";"Distrito Benalúa-La Florida-Babel-San Gabriel";"210";" 185"
"100069870";"2";"2";"Planta 3ª exterior";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"2000";"N";"Y";"Teatro";"Barrio Santo Domingo";"Distrito San Blas-Pau";"160";NULL
"100070058";"3";"2";"Planta 2ª exterior";"Y";"Y";"N";"N";"N";"Y";"N";"N";"1300";"Y";"Y";"Calle Díaz Moreu";"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"156";" 146"
"100081142";"4";"3";"Planta 3ª exterior";"Y";"Y";"Y";"Y";"Y";"Y";"N";"N";"2800";"Y";"Y";NULL;"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"230";" 223"
"100084693";"4";"2";"Planta 1ª exterior";"Y";"Y";"Y";"N";"N";"N";"N";"N";"1500";"N";"Y";"Calle San Agustín";"Barrio Casco Histórico-Santa Cruz";"Distrito Centro";"160";NULL
"100086349";"3";"2";"Planta 2ª exterior";"Y";"Y";"N";"Y";"Y";"Y";"Y";"Y";"1200";"N";"N";NULL;"Barrio Cabo de las Huertas";"Distrito Playa de San Juan-El Cabo";"128";NULL
"100090727";"3";"2";"Planta 2ª exterior";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"1700";"Y";"Y";"Avenida de Niza";"Barrio Playa de San Juan";"Distrito Playa de San Juan-El Cabo";"150";" 135"
